CODE,NEDERLANDSE OMSCHRIJVING ,ENGELSE OMSCHRIJVING
1061001,"Malen van granen: productie van meel, gries, griesmeel en pellets van tarwe, rogge, haver, maïs en andere granen","Grain milling: production of flour, groats, semolina or pellets of wheat, rye, oats, corn or other cereal grains"
1061002,Vervaardiging van graanpreparaten voor het ontbijt,Manufacturing of cereal based breakfast food
1061003,"Vervaardiging van bereide meelmengsels voor brood, cake, biscuits, pannekoeken, enz.","Manufacture of prepared mixed flour for the manufacture of bread, cakes, biscuits, pancakes, etc."
1062,Vervaardiging van zetmeel en zetmeelproducten,Manufacture of starches and starch products
10620,Vervaardiging van zetmeel en zetmeelproducten,Manufacture of starches and starch products
107,Vervaardiging van bakkerijproducten en deegwaren,Manufacture of bakery and farinaceous products
1071,Vervaardiging van brood en van vers banketbakkerswerk,Manufacture of bread; manufacture of fresh pastry goods and cakes
10711,Industriële vervaardiging van brood en van vers banketbakkerswerk,Industrial manufacture of bread and fresh pastry goods and cakes
1071101,"Industriële vervaardiging van bakkerijproducten hoofdzakelijk bestemd voor levering aan de detailhandel, horecabedrijven, enz.: brood, gebakjes, taarten en ander vers of diepgevroren banketbakkerswerk","Industrial manufacture of bakery products mainly destined for retail trade, catering, etc. : breads, cakes, pies and other fresh or frozen products"
1071102,Vervaardiging van bakkerijproducten in de vorm van deeg,Manufacture of ready to bake doughs
10712,Ambachtelijke vervaardiging van brood en van vers banketbakkerswerk,Manufacture of homemade bread and fresh pastry goods and cakes
1071201,"Ambachtelijke vervaardiging van brood, broodjes, verse cakes, taarten en ander vers banketbakkerswerk door warme bakkers","Manufacture of homemade breads, rolls, fresh cakes, pies and other fresh pastry goods"
1072,Vervaardiging van beschuit en biscuit en van ander houdbaar banketbakkerswerk,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes
10720,Vervaardiging van beschuit en biscuit en van ander houdbaar banketbakkerswerk,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes
1072001,"Vervaardiging van beschuit, koekjes, peperkoek, enz.","Manufacture of rusks, biscuits, gingerbread, etc."
1072002,"Vervaardiging van ander houdbaar banketbakkerswerk, exclusief diepvriesproducten",Manufacture of preserved pastry goods and cakes (excluding frozen products)
1072003,"Vervaardiging van versnaperingen, zoet dan wel gezouten","Manufacture of sweet or salted ""appetizers"""
1073,"Vervaardiging van macaroni, noedels, koeskoes en dergelijke deegwaren","Manufacture of macaroni, noodles, couscous and similar farinaceous products"
10730,"Vervaardiging van macaroni, noedels, koeskoes en dergelijke deegwaren","Manufacture of macaroni, noodles, couscous and similar farinaceous products"
1073001,"Vervaardiging van al dan niet gevulde, verse of gekookte pasta's als macaroni, spaghetti, noedels, lasagne, enz.","Manufacture of pasta, stuffed or not, fresh or cooked such as macaroni, spaghetti, noodles, lasagna, etc."
108,Vervaardiging van andere voedingsmiddelen,Manufacture of other food products
1081,Vervaardiging van suiker,Manufacture of sugar
10810,Vervaardiging van suiker,Manufacture of sugar
1081001,"Productie van riet-, biet-, ahorn, palmsuiker, enz., en van stroop van deze suikers","Production of sugar and sugar syrup from sugar cane juice, beet, maple, palm, etc."
1081002,Productie van saccharosesuiker,Production of sucrose
1082,"Vervaardiging van cacao, chocolade en suikerwerk","Manufacture of cocoa, chocolate and sugar confectionery"
10820,"Vervaardiging van cacao, chocolade en suikerwerk","Manufacture of cocoa, chocolate and sugar confectionery"
1082001,"Vervaardiging van cacao, -boter, -vet en -olie","Manufacture of cocoa, cocoa butter, cocoa fat and cocoa oil"
1082002,Vervaardiging van chocolade en chocoladeproducten.,Manufacture of chocolate and chocolate confectionery
1082003,Vervaardiging van suikerwerk,Manufacture of confectionery
1082004,Konfijten van vruchten,Manufacture of candied fruit
1083,Verwerking van thee en koffie,Processing of tea and coffee
10830,Verwerking van thee en koffie,Processing of tea and coffee
1083001,"Branden van koffie en verwijderen van cafeïne : vervaardiging van gemalen koffie, van oploskoffie, van extracten en concentraten van koffie","Roasting and decaffeination of coffee: manufacture of ground coffee, soluble coffee and extracts and concentrates of coffee"
1083002,Vervaardiging van koffiesurrogaten,Manufacture of coffee substitutes
1083003,Mengen van thee en maté,Mixing of tea and mate
1083004,"Vervaardiging van kruidentheeën (pepermunt, verveine, kamille, enz.)","Manufacture of plant infusions (mint, vervain, chamomile, etc.)"
1084,"Vervaardiging van specerijen, sauzen en kruiderijen",Manufacture of condiments and seasonings
10840,"Vervaardiging van specerijen, sauzen en kruiderijen",Manufacture of condiments and seasonings
1084001,"Vervaardiging van specerijen en kruiderijen (inclusief malen, mengen, enz.)","Manufacture of condiments and spices (including grinding, mixing, etc.)"
1084002,Vervaardiging van azijn,Manufacture of vinegar
1084003,Vervaardiging van sausen,Manufacture of sauces
1085,Vervaardiging van bereide maaltijden en schotels,Manufacture of prepared meals and dishes
10850,Vervaardiging van bereide maaltijden en schotels,Manufacture of prepared meals and dishes
1085001,Productie van vers bereide maaltijden die vlees bevatten,Production of meat based prepared meals
1085011,Productie van diepgevroren bereide maaltijden die vlees bevatten,Production of frozen meat based prepared meals
1085021,Productie van vers bereide maaltijden die vis bevatten,Production of fresh fish based prepared meals
1085031,Productie van diepgevroren bereide maaltijden die vis bevatten,Production of frozen fish based prepared meals
1086,Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding,Manufacture of homogenised food preparations and dietetic food
10860,Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding,Manufacture of homogenised food preparations and dietetic food
1086001,"Vervaardiging van levensmiddelen die bestemd zijn voor bijzondere voeding : zuigelingenvoeding, opvolgmelk en andere opvolgvoeding, babyvoeding, enz.","Manufacture of foodstuffs for particular nutritional uses: preparations for infants, follow-up milk and other foods given to older infants, baby food, etc."
1089,"Vervaardiging van andere voedingsmiddelen, n.e.g.",Manufacture of other food products n.e.c.
10890,"Vervaardiging van andere voedingsmiddelen, n.e.g.",Manufacture of other food products n.e.c.
1089001,Vervaardiging van bereiden soepen of bouillons,Manufacture of soups and broths and preparations therefor
1089002,Vervaardiging van houdbare melkdesserten,Manufacture of preserved dairy desserts
1089003,"Vervaardiging van voedingssupplementen en voedingsmiddelen die met vitaminen, proteïnen, enz. zijn verrijkt","Manufacture of food supplements and foods fortified with vitamins, proteins,..."
1089011,Vervaardiging van kunsthoning en karamel,Manufacture of artificial honey and caramel
109,Vervaardiging van diervoeders,Manufacture of prepared animal feeds
1091,Vervaardiging van veevoeders,Manufacture of prepared feeds for farm animals
10910,Vervaardiging van veevoeders,Manufacture of prepared feeds for farm animals
1091001,"Vervaardiging van bereide veevoeders, inclusief toevoegingen","Manufacturing of compound feedingstuffs for farm animals, including complementary feedingstuffs"
1092,Vervaardiging van voeders voor huisdieren,Manufacture of prepared pet foods
10920,Vervaardiging van voeders voor huisdieren,Manufacture of prepared pet foods
11,Vervaardiging van dranken,Manufacture of beverages
110,Vervaardiging van dranken,Manufacture of beverages
1101,"Vervaardiging van gedistilleerde dranken door distilleren, rectificeren en mengen","Distilling, rectifying and blending of spirits"
11010,"Vervaardiging van gedistilleerde dranken door distilleren, rectificeren en mengen",Manufacture of distilled alcoholic beverages
1101001,"Vervaardiging van gedistilleerde alcoholische dranken zoals whisky, cognac, gin, enz.","Manufacture of distilled alcoholic beverages such as whiskey, brandy, gin, etc."
1101002,Vervaardiging van likeuren en aperitieven op basis van alcohol,Manufacturing of liqueurs and alcohol-based aperitifs
1102,Vervaardiging van wijn uit druiven,Manufacture of wine (from grape)
11020,Vervaardiging van wijn uit druiven,Production of wine (from grape)
1102001,"Vervaardiging van wijn uit verse druiven zoals tafelwijn, landwijn, kwaliteitswijn, schuimwijn, champagne, enz.","Production of wine from fresh grapes such as table wines, local wines, quality wines, sparkling wines, champagne, etc."
1103,Vervaardiging van cider en van andere vruchtenwijnen,Manufacture of cider and other fruit wines
11030,Vervaardiging van cider en van andere vruchtenwijnen,Manufacture of cider and other fruit wines
1103001,"Vervaardiging van cider, perenwijn en andere vruchtenwijn","Manufacture of cider, perry and other fruit wines"
1104,Vervaardiging van andere niet-gedistilleerde gegiste dranken,Manufacture of other non-distilled fermented beverages
11040,Vervaardiging van andere niet-gedistilleerde gegiste dranken,Manufacture of other non-distilled fermented beverages
1104001,Vervaardiging van gearomatiseerde wijnen (vermout),Manufacture of aromatized wines (vermouth)
1105,Vervaardiging van bier,Manufacture of beer
11050,Vervaardiging van bier,Manufacture of beer
1106,Vervaardiging van mout,Manufacture of malt
11060,Vervaardiging van mout,Manufacture of malt
1107,Vervaardiging van frisdranken; productie van mineraalwater en ander gebotteld water,Manufacture of soft drinks; production of mineral waters and other bottled waters
11070,Vervaardiging van frisdranken; productie van mineraalwater en ander gebotteld water,Manufacture of soft drinks; production of mineral waters and other bottled waters
1107001,Productie van natuurlijk mineraalwater,Production of natural mineral waters
1107002,"Vervaardiging van niet-alcoholische dranken, m.u.v. bier en alcoholvrije wijn  : natuurlijk mineraalwater,  water met toegevoegde zoetstoffen en/of gearomatiseerd water: limonade, cola, tonics, enz.","Manufacture of non-alcoholic beverages except  non-alcoholic beer and wine : natural mineral water, sweetened and / or aromatized non-alcoholic beverages such as lemonade, cola, tonic waters etc."
1107003,Productie van ijsthee,Production of iced tea
12,Vervaardiging van tabaksproducten,Manufacture of tobacco products
120,Vervaardiging van tabaksproducten,Manufacture of tobacco products
1200,Vervaardiging van tabaksproducten,Manufacture of tobacco products
12000,Vervaardiging van tabaksproducten,Manufacture of tobacco products
1200001,"Vervaardiging van tabaksproducten zoals sigaretten, sigarettentabak, sigaren, pijptabak, pruimtabak en snuif","Manufacture of tobacco products such as cigarettes, cigars, cigarette tobacco, pipe tobacco, chewing tobacco or snuff"
1200002,Vervaardiging van gehomogeniseerde en gereconstitueerde tabak,"Manufacture of ""homogenised"" or ""reconstituted"" tobacco"
13,Vervaardiging van textiel,Manufacture of textiles
131,Bewerken en spinnen van textielvezels,Preparation and spinning of textile fibres
1310,Bewerken en spinnen van textielvezels,Preparation and spinning of textile fibres
13100,Bewerken en spinnen van textielvezels,Preparation and spinning of textile fibres
1310001,"Voorbewerking, kaarden en kammen van katoen- of katoenachtige vezels","Preparation, carding and combing of cotton-type fibres"
1310002,"Spinnen van garens, hetzij van katoen, hetzij van katoenachtige kunstmatige of synthetische vezels, voor het weven, het breien, enz.","Thread spinning of cotton-type fibres, artificial or synthetic fibers, for weaving, knitting, etc."
1310011,"Spinnen van garens, hetzij van vlas, hetzij van vlasachtige kunstmatige of synthetische vezels, voor het weven, het breien, enz.","Thread spinning of linen-type fibres, artificial or synthetic fibres, for weaving, knitting, etc."
1310021,"Textureren, twisten, twijnen, kabelen en dippen van synthetisch of kunstmatig vezelgaren","Texturing, twisting, throwing, cabling and padding of artificial or synthetic filaments"
1310031,Vervaardiging van borduurgarens,Manufacture of embroidery threads
1310041,"Voorbewerken en spinnen van andere textielvezels, zoals jute of bastvezels",Preparation and spinning of other textile fibres such as jute fibres or bast fibres
1310042,Vervaardiging van papiergaren,Manufacture of paper yarn
132,Weven van textiel,Weaving of textiles
1320,Weven van textiel,Weaving of textiles
13200,Weven van textiel,Weaving of textiles
1320001,Vervaardiging van brede katoenweefsels of van katoenachtige synthetische of kunstmatige garens,Manufacture of cotton-type fabric of cotton threads or artificial or synthetic fibres
1320002,"Vervaardiging van fluweel, chenilleweefsel, lussenweefsel (bad- of frotteerstof), weefsel met gaasbinding (inclusief verbandweefsel), enz.","Manufacture of velvet, chenille fabrics, terry fabrics, gauze fabrics (including fabrics for dressings), etc."
1320011,Vervaardiging van brede weefsels van kamwol of van kamwolachtige synthetische en kunstmatige garens,"Manufacture of wool type fabrics, worsted-type, of spun wool or artificial or synthetic fibres"
1320021,Vervaardiging van textielstoffen van polypropeen,Manufacture of polypropylene fabrics
133,Textielveredeling,Finishing of textiles
1330,Textielveredeling,Finishing of textiles
